Parameter,Value
num_simulations,20
num_iterations,100
prob_spread,0.3
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-09
end_date,2015-02-10
location,Chingaza National Park
display_simulations,True
auto_close_simulations,True
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
0,16,5,8
1,16,8,13
2,6,3,2
3,19,8,11
4,26,10,15
5,19,10,15
6,34,13,29
7,9,5,4
8,35,14,26
9,27,7,19
10,32,11,30
11,10,7,8
12,14,8,10
13,6,4,4
14,12,8,8
15,12,5,8
16,21,9,11
17,8,4,4
18,9,4,6
19,12,8,7
