Parameter,Value
num_simulations,200
num_iterations,100
prob_spread,0.666
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-10
end_date,2015-02-11
location,Chingaza National Park
display_simulations,False
auto_close_simulations,False
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
0,1056,40,1056
1,1046,48,1046
2,1061,41,1061
3,1067,41,1067
4,1058,49,1058
5,1066,40,1066
6,1041,42,1041
7,1064,41,1064
8,1063,38,1063
9,1061,51,1061
10,1044,41,1044
11,1052,44,1052
12,1055,44,1055
13,1068,46,1068
14,1051,42,1051
15,1051,48,1051
16,1057,45,1057
17,1059,47,1059
18,1054,48,1054
19,1053,36,1053
20,1045,43,1045
21,1055,41,1055
22,1060,39,1060
23,1059,37,1059
24,1051,37,1051
25,1064,47,1064
26,1041,49,1041
27,1059,38,1059
28,1055,39,1055
29,1051,40,1051
30,1040,40,1040
31,1049,45,1049
32,1044,38,1044
33,1062,43,1062
34,1068,42,1068
35,1062,41,1062
36,1050,46,1050
37,1061,49,1061
38,1070,51,1070
39,1058,41,1058
40,1060,41,1060
41,1059,42,1059
42,1058,42,1058
43,1064,35,1064
44,1057,47,1057
45,1051,42,1051
46,1040,42,1040
47,1054,43,1054
48,1062,40,1062
49,1059,40,1059
50,1058,38,1058
51,1054,42,1054
52,1049,47,1049
53,1039,42,1039
54,1041,37,1041
55,1059,42,1059
56,1058,41,1058
57,1058,40,1058
58,1041,40,1041
59,1062,43,1062
60,1064,41,1064
61,1046,39,1046
62,1060,40,1060
63,1044,42,1044
64,1063,40,1063
65,1067,44,1067
66,1064,42,1064
67,1062,39,1062
68,1068,40,1068
69,1063,44,1063
70,1057,41,1057
71,1066,36,1066
72,1067,42,1067
73,1041,42,1041
74,1041,50,1041
75,1061,39,1061
76,1050,45,1050
77,1066,42,1066
78,1074,41,1074
79,1066,40,1066
80,1044,42,1044
81,1050,36,1050
82,1049,43,1049
83,1043,44,1043
84,1069,45,1069
85,1059,48,1059
86,1058,41,1058
87,1047,38,1047
88,1070,42,1070
89,1047,43,1047
90,1047,40,1047
91,1078,49,1078
92,1060,41,1060
93,1035,38,1035
94,1059,40,1059
95,1055,39,1055
96,1056,46,1056
97,1056,49,1056
98,1056,41,1056
99,1069,43,1069
100,1039,43,1039
101,1055,43,1055
102,1065,47,1065
103,1069,40,1069
104,1065,41,1065
105,1063,39,1063
106,1035,39,1035
107,1064,46,1064
108,1067,44,1067
109,1072,39,1072
110,1065,40,1065
111,1058,46,1058
112,1063,42,1063
113,1057,44,1057
114,1058,42,1058
115,1048,41,1048
116,1038,36,1038
117,1056,38,1056
118,1044,39,1044
119,1076,40,1076
120,1067,42,1067
121,1051,52,1051
122,1067,49,1067
123,1060,41,1060
124,1061,40,1061
125,1044,45,1044
126,1056,47,1056
127,1050,40,1050
128,1067,40,1067
129,1064,38,1064
130,1040,46,1040
131,1066,44,1066
132,1049,42,1049
133,1066,40,1066
134,1067,43,1067
135,1059,43,1059
136,1060,42,1060
137,1058,41,1058
138,1040,41,1040
139,1053,44,1053
140,1055,40,1055
141,1059,41,1059
142,1065,40,1065
143,1059,41,1059
144,1065,50,1065
145,1054,53,1054
146,1037,46,1037
147,1025,44,1025
148,1016,40,1016
149,1057,48,1057
150,1073,42,1073
151,1065,48,1065
152,1045,41,1045
153,1054,44,1054
154,1050,38,1050
155,1064,45,1064
156,1056,39,1056
157,1055,38,1055
158,1071,45,1071
159,1065,45,1065
160,1064,56,1064
161,983,36,983
162,1054,55,1054
163,1070,50,1070
164,1034,40,1034
165,1061,40,1061
166,1064,47,1064
167,1063,40,1063
168,1065,40,1065
169,1045,40,1045
170,1063,37,1063
171,1065,46,1065
172,1052,50,1052
173,1025,44,1025
174,1059,44,1059
175,1070,45,1070
176,1054,38,1054
177,1004,37,1004
178,1046,40,1046
179,1040,40,1040
180,1069,45,1069
181,1056,42,1056
182,1061,39,1061
183,1059,46,1059
184,1065,40,1065
185,1065,41,1065
186,1069,39,1069
187,1054,49,1054
188,1057,40,1057
189,1057,46,1057
190,1046,42,1046
191,1043,38,1043
192,1059,44,1059
193,1071,48,1071
194,1055,42,1055
195,1051,40,1051
196,1057,43,1057
197,1038,41,1038
198,1042,50,1042
199,1056,39,1056
